,id,neg,neu,pos,compound,sentiment_score
194,1475927764150546436,0.032,0.827,0.141,0.6249,Positive
195,1475927639323865088,0.032,0.827,0.141,0.6249,Positive
196,1475927143838203904,0.0,0.85,0.15,0.6486,Positive
197,1475926855198724096,0.0,0.85,0.15,0.6486,Positive
198,1475926657097617408,0.0,0.854,0.146,0.6486,Positive
199,1475926603351740418,0.0,0.854,0.146,0.6486,Positive
200,1475926485256998912,0.086,0.719,0.194,0.3612,Positive
201,1475926134244225030,0.0,0.834,0.166,0.5562,Positive
202,1475925968153759749,0.0,0.85,0.15,0.6486,Positive
203,1475925372688420864,0.0,0.772,0.228,0.9457,Positive
204,1475924977593446405,0.0,0.755,0.245,0.8851,Positive
205,1475912507575484426,0.293,0.707,0.0,-0.4404,Negative
206,1475896498760077328,0.0,0.845,0.155,0.5661,Positive
207,1475892819986317313,0.04,0.821,0.139,0.7456,Positive
208,1475888061489758209,0.0,0.712,0.288,0.8834,Positive
209,1475873645918666753,0.0,0.615,0.385,0.3612,Positive
210,1475866848717643778,0.122,0.832,0.046,-0.6249,Negative
211,1475855752208203784,0.0,1.0,0.0,0.0,Neutral
212,1475853150263382021,0.0,1.0,0.0,0.0,Neutral
213,1475852239185096706,0.0,0.686,0.314,0.4939,Positive
214,1475851874049966090,0.0,1.0,0.0,0.0,Neutral
215,1475850857539321862,0.0,0.517,0.483,0.4215,Positive
216,1475850688991313925,0.0,1.0,0.0,0.0,Neutral
217,1475840636511301640,0.268,0.732,0.0,-0.296,Negative
218,1475819723170459653,0.0,1.0,0.0,0.0,Neutral
219,1475816542629679105,0.0,0.702,0.298,0.1779,Positive
220,1475810696717905928,0.0,1.0,0.0,0.0,Neutral
221,1475810206915436554,0.0,0.825,0.175,0.624,Positive
222,1475806056722821121,0.064,0.936,0.0,-0.4939,Negative
223,1475782634366070785,0.243,0.688,0.069,-0.5889,Negative
224,1475782181066657794,0.049,0.874,0.077,0.0129,Neutral
225,1475739074833133569,0.061,0.939,0.0,-0.296,Negative
226,1475735079926304778,0.0,1.0,0.0,0.0,Neutral
227,1475726249032962051,0.0,1.0,0.0,0.0,Neutral
228,1475713380593799168,0.0,0.432,0.568,0.836,Positive
229,1475713304001605635,0.333,0.667,0.0,-0.5423,Negative
230,1475712894247456768,0.0,1.0,0.0,0.0,Neutral
231,1475711430385029121,0.0,0.406,0.594,0.6588,Positive
232,1475711138650537986,0.0,1.0,0.0,0.0,Neutral
233,1475701682340339718,0.148,0.675,0.177,0.228,Positive
234,1475701598009634818,0.148,0.675,0.177,0.228,Positive
235,1475701506837987328,0.148,0.675,0.177,0.228,Positive
236,1475701479130517504,0.148,0.675,0.177,0.228,Positive
237,1475701143728799746,0.148,0.675,0.177,0.228,Positive
238,1475701105506009088,0.148,0.675,0.177,0.228,Positive
239,1475701026808291334,0.148,0.675,0.177,0.228,Positive
240,1475700958571212805,0.148,0.675,0.177,0.228,Positive
241,1475700851759013888,0.148,0.675,0.177,0.228,Positive
242,1475700747962654720,0.148,0.675,0.177,0.228,Positive
243,1475700636054343680,0.0,0.667,0.333,0.6124,Positive
244,1475694914033704963,0.0,1.0,0.0,0.0,Neutral
245,1475694653890465792,0.0,1.0,0.0,0.0,Neutral
246,1475693559067992065,0.0,0.484,0.516,0.4926,Positive
247,1475693487244791812,0.0,0.556,0.444,0.3382,Positive
248,1475693397113389058,0.0,0.913,0.087,0.3987,Positive
249,1475692752671150082,0.0,0.851,0.149,0.2732,Positive
250,1475692605371412486,0.0,1.0,0.0,0.0,Neutral
251,1475688071634964481,0.0,1.0,0.0,0.0,Neutral
252,1475686955081822213,0.0,0.607,0.393,0.3802,Positive
253,1475680722312597510,0.0,0.755,0.245,0.8851,Positive
254,1475676000440754176,0.0,1.0,0.0,0.0,Neutral
255,1475662583663411206,0.0,1.0,0.0,0.0,Neutral
256,1475654692696993796,0.191,0.754,0.055,-0.6901,Negative
257,1475648375953317890,0.158,0.842,0.0,-0.3089,Negative
258,1475648238183084034,0.0,0.683,0.317,0.784,Positive
259,1475641575418040324,0.0,1.0,0.0,0.0,Neutral
260,1475639749461385224,0.0,0.794,0.206,0.8852,Positive
261,1475634731270168587,0.242,0.521,0.237,-0.0274,Neutral
262,1475629984236646408,0.0,0.858,0.142,0.7543,Positive
263,1475620375425953792,0.184,0.756,0.06,-0.6966,Negative
264,1475611352169205762,0.0,1.0,0.0,0.0,Neutral
265,1475610723946577926,0.206,0.751,0.043,-0.8481,Negative
266,1475605685870075904,0.0,1.0,0.0,0.0,Neutral
267,1475600875242590216,0.0,1.0,0.0,0.0,Neutral
268,1475600688302415872,0.0,1.0,0.0,0.0,Neutral
269,1475600635378782212,0.0,1.0,0.0,0.0,Neutral
270,1475600374807646211,0.0,1.0,0.0,0.0,Neutral
271,1475600282335731716,0.0,1.0,0.0,0.0,Neutral
272,1475566052843171843,0.0,0.714,0.286,0.34,Positive
273,1475533726784401412,0.0,1.0,0.0,0.0,Neutral
274,1475517556706340869,0.0,1.0,0.0,0.0,Neutral
275,1475507779087515649,0.0,1.0,0.0,0.0,Neutral
276,1475495928840835083,0.427,0.573,0.0,-0.6381,Negative
277,1475488329445502978,0.0,0.451,0.549,0.9862,Positive
278,1475455866182713352,0.0,0.815,0.185,0.3612,Positive
279,1475435406522994697,0.39,0.452,0.158,-0.4753,Negative
280,1475435330727817216,0.0,0.94,0.06,0.2023,Positive
281,1475435253594533891,0.077,0.923,0.0,-0.5267,Negative
282,1475434921892233220,0.0,1.0,0.0,0.0,Neutral
283,1475432304675897345,0.0,1.0,0.0,0.0,Neutral
284,1475425341615206402,0.0,0.83,0.17,0.7783,Positive
285,1475419831553953802,0.0,1.0,0.0,0.0,Neutral
286,1475417186579611648,0.0,0.58,0.42,0.4404,Positive
287,1475381843168006146,0.213,0.68,0.107,-0.5964,Negative
288,1475381801464078347,0.213,0.68,0.107,-0.5964,Negative
289,1475381772867227652,0.213,0.68,0.107,-0.5964,Negative
290,1475381748900970498,0.213,0.68,0.107,-0.5964,Negative
291,1475381709684330500,0.213,0.68,0.107,-0.5964,Negative
292,1475381685881552898,0.213,0.68,0.107,-0.5964,Negative
293,1475381663165300739,0.213,0.68,0.107,-0.5964,Negative
294,1475381639526195203,0.213,0.68,0.107,-0.5964,Negative
295,1475381613345357825,0.213,0.68,0.107,-0.5964,Negative
296,1475381587214745602,0.213,0.68,0.107,-0.5964,Negative
297,1475381545707974661,0.213,0.68,0.107,-0.5964,Negative
298,1475381413042167809,0.209,0.686,0.105,-0.5964,Negative
299,1475381298718031872,0.213,0.68,0.107,-0.5964,Negative
300,1475381271006224384,0.213,0.68,0.107,-0.5964,Negative
301,1475381231936315400,0.213,0.68,0.107,-0.5964,Negative
302,1475381202660085761,0.213,0.68,0.107,-0.5964,Negative
303,1475381166463229953,0.213,0.68,0.107,-0.5964,Negative
304,1475381110259564544,0.213,0.68,0.107,-0.5964,Negative
305,1475381087270490112,0.213,0.68,0.107,-0.5964,Negative
306,1475381062641623047,0.213,0.68,0.107,-0.5964,Negative
307,1475380900015837186,0.213,0.68,0.107,-0.5964,Negative
308,1475380869825273857,0.213,0.68,0.107,-0.5964,Negative
309,1475380823813730307,0.213,0.68,0.107,-0.5964,Negative
310,1475380743035621378,0.213,0.68,0.107,-0.5964,Negative
311,1475380612592771077,0.213,0.68,0.107,-0.5964,Negative
312,1475380584507662336,0.213,0.68,0.107,-0.5964,Negative
313,1475380503872167936,0.213,0.68,0.107,-0.5964,Negative
314,1475380475267104768,0.213,0.68,0.107,-0.5964,Negative
315,1475380446154436611,0.213,0.68,0.107,-0.5964,Negative
316,1475380404488216577,0.213,0.68,0.107,-0.5964,Negative
317,1475380376277327873,0.213,0.68,0.107,-0.5964,Negative
318,1475380352390778885,0.213,0.68,0.107,-0.5964,Negative
319,1475380315451539461,0.213,0.68,0.107,-0.5964,Negative
320,1475380275878285317,0.213,0.68,0.107,-0.5964,Negative
321,1475380246174216192,0.213,0.68,0.107,-0.5964,Negative
322,1475380212967870465,0.213,0.68,0.107,-0.5964,Negative
323,1475380187659481091,0.213,0.68,0.107,-0.5964,Negative
324,1475380162669826048,0.213,0.68,0.107,-0.5964,Negative
325,1475380137252335620,0.213,0.68,0.107,-0.5964,Negative
326,1475380090146103296,0.213,0.68,0.107,-0.5964,Negative
327,1475380048404307970,0.213,0.68,0.107,-0.5964,Negative
328,1475379707453530117,0.213,0.68,0.107,-0.5964,Negative
329,1475379617418682368,0.213,0.68,0.107,-0.5964,Negative
330,1475379494345232387,0.213,0.68,0.107,-0.5964,Negative
331,1475379472568307713,0.213,0.68,0.107,-0.5964,Negative
332,1475379438279929860,0.213,0.68,0.107,-0.5964,Negative
333,1475379275205419008,0.213,0.68,0.107,-0.5964,Negative
334,1475379243941040128,0.213,0.68,0.107,-0.5964,Negative
335,1475379132003491842,0.213,0.68,0.107,-0.5964,Negative
336,1475379101535981569,0.213,0.68,0.107,-0.5964,Negative
337,1475379026768412672,0.213,0.68,0.107,-0.5964,Negative
338,1475378984833761283,0.213,0.68,0.107,-0.5964,Negative
339,1475378939392663556,0.213,0.68,0.107,-0.5964,Negative
340,1475378687851773958,0.213,0.68,0.107,-0.5964,Negative
341,1475378579491991554,0.213,0.68,0.107,-0.5964,Negative
342,1475378526152970240,0.213,0.68,0.107,-0.5964,Negative
343,1475378447031717888,0.213,0.68,0.107,-0.5964,Negative
344,1475378418854383616,0.213,0.68,0.107,-0.5964,Negative
345,1475378374839349251,0.213,0.68,0.107,-0.5964,Negative
346,1475378348763357185,0.213,0.68,0.107,-0.5964,Negative
347,1475378307331932163,0.213,0.68,0.107,-0.5964,Negative
348,1475378254898946050,0.213,0.68,0.107,-0.5964,Negative
349,1475378227321479171,0.213,0.68,0.107,-0.5964,Negative
350,1475378202629582848,0.213,0.68,0.107,-0.5964,Negative
351,1475378175991504896,0.213,0.68,0.107,-0.5964,Negative
352,1475378136917417989,0.213,0.68,0.107,-0.5964,Negative
353,1475378053736017924,0.213,0.68,0.107,-0.5964,Negative
354,1475378026087075840,0.213,0.68,0.107,-0.5964,Negative
355,1475373913924423681,0.213,0.68,0.107,-0.5964,Negative
356,1475373875177345027,0.213,0.68,0.107,-0.5964,Negative
357,1475373837273423874,0.213,0.68,0.107,-0.5964,Negative
358,1475373480770158592,0.213,0.68,0.107,-0.5964,Negative
359,1475373446146232321,0.213,0.68,0.107,-0.5964,Negative
360,1475373400319221768,0.213,0.68,0.107,-0.5964,Negative
361,1475373357952557061,0.213,0.68,0.107,-0.5964,Negative
362,1475373326050762752,0.213,0.68,0.107,-0.5964,Negative
363,1475373289140797444,0.213,0.68,0.107,-0.5964,Negative
364,1475373248816852992,0.213,0.68,0.107,-0.5964,Negative
365,1475373179011010566,0.213,0.68,0.107,-0.5964,Negative
366,1475373149122441218,0.209,0.686,0.105,-0.5964,Negative
367,1475373112216760324,0.209,0.686,0.105,-0.5964,Negative
368,1475369135106260992,0.0,1.0,0.0,0.0,Neutral
369,1475368597090361346,0.213,0.68,0.107,-0.5964,Negative
370,1475361814292537349,0.0,1.0,0.0,0.0,Neutral
371,1475337671463477248,0.297,0.654,0.049,-0.9359,Negative
372,1475325265459187712,0.0,0.87,0.13,0.6908,Positive
373,1475318873226301442,0.053,0.815,0.132,0.4102,Positive
374,1475315915256475649,0.102,0.73,0.168,0.4686,Positive
375,1475300137287270402,0.238,0.639,0.123,-0.6908,Negative
376,1475299312640958468,0.0,0.741,0.259,0.2732,Positive
377,1475255022480809985,0.0,1.0,0.0,0.0,Neutral
378,1475244564600475654,0.0,0.827,0.173,0.5556,Positive
379,1475244388087435265,0.0,0.827,0.173,0.5556,Positive
380,1475236999015632896,0.285,0.715,0.0,-0.7317,Negative
381,1475230868641751042,0.0,1.0,0.0,0.0,Neutral
382,1475229660250263555,0.209,0.686,0.105,-0.5964,Negative
383,1475216566732025857,0.0,0.788,0.212,0.8593,Positive
384,1475199894554087427,0.0,1.0,0.0,0.0,Neutral
385,1475183082982490116,0.0,1.0,0.0,0.0,Neutral
386,1475178447559397376,0.154,0.71,0.136,-0.0772,Negative
387,1475154096562733059,0.0,1.0,0.0,0.0,Neutral
388,1475150430946664451,0.148,0.675,0.177,0.228,Positive
389,1475113682015248392,0.151,0.849,0.0,-0.743,Negative
390,1475096530407211011,0.0,1.0,0.0,0.0,Neutral
391,1475096441248890882,0.279,0.721,0.0,-0.4767,Negative
392,1475083663205359617,0.076,0.786,0.138,0.3167,Positive
393,1475082963591307266,0.076,0.826,0.098,0.3147,Positive
394,1475081489054416900,0.158,0.753,0.089,-0.6562,Negative
395,1475080714995605517,0.055,0.864,0.08,0.0444,Neutral
396,1475080350393159686,0.112,0.835,0.052,-0.4361,Negative
397,1475079508025741312,0.0,0.674,0.326,0.4404,Positive
398,1475077558924455937,0.153,0.847,0.0,-0.4019,Negative
399,1475077380922392576,0.0,1.0,0.0,0.0,Neutral
400,1475074610899165187,0.15,0.722,0.129,-0.2946,Negative
401,1475068531657961477,0.07,0.749,0.181,0.5106,Positive
402,1475068497940348930,0.07,0.749,0.181,0.5106,Positive
403,1475068455653019649,0.07,0.749,0.181,0.5106,Positive
404,1475068408681013248,0.072,0.743,0.186,0.5106,Positive
405,1475066058104999943,0.0,0.743,0.257,0.5423,Positive
406,1475027729720430592,0.0,0.783,0.217,0.6441,Positive
407,1475024249127518209,0.121,0.879,0.0,-0.296,Negative
408,1474997384660750337,0.0,0.879,0.121,0.4404,Positive
409,1474942419661639682,0.231,0.769,0.0,-0.4588,Negative
410,1474938957431558145,0.0,0.677,0.323,0.3278,Positive
411,1474938484695580673,0.0,1.0,0.0,0.0,Neutral
412,1474937719772041216,0.0,1.0,0.0,0.0,Neutral
413,1474924122589306881,0.128,0.828,0.044,-0.6971,Negative
414,1474922638925393920,0.0,1.0,0.0,0.0,Neutral
415,1474915672610246662,0.0,0.827,0.173,0.5556,Positive
416,1474909983250825218,0.0,0.821,0.179,0.5556,Positive
417,1474909701930377216,0.0,0.821,0.179,0.5556,Positive
418,1474909563510046726,0.0,0.821,0.179,0.5556,Positive
419,1474862071099523072,0.0,1.0,0.0,0.0,Neutral
420,1474861979794030593,0.0,1.0,0.0,0.0,Neutral
421,1474861785916207106,0.0,1.0,0.0,0.0,Neutral
422,1474861695331753986,0.0,1.0,0.0,0.0,Neutral
423,1474861356381659138,0.0,1.0,0.0,0.0,Neutral
424,1474859469079289861,0.319,0.681,0.0,-0.7579,Negative
425,1474845159716122625,0.0,0.649,0.351,0.4019,Positive
426,1474844731003834377,0.138,0.644,0.218,0.6596,Positive
427,1474844674032644096,0.138,0.644,0.218,0.6596,Positive
428,1474835473147203585,0.0,1.0,0.0,0.0,Neutral
429,1474829499778936837,0.067,0.83,0.103,0.4041,Positive
430,1474817984841408516,0.0,1.0,0.0,0.0,Neutral
431,1474812551703969792,0.0,0.878,0.122,0.3612,Positive
432,1474812483982528516,0.133,0.729,0.138,-0.1813,Negative
433,1474811960764076037,0.095,0.748,0.157,0.6115,Positive
434,1474810203992428547,0.0,0.912,0.088,0.4497,Positive
435,1474809376896471041,0.0,0.879,0.121,0.7184,Positive
436,1474805674903175172,0.146,0.747,0.107,-0.2083,Negative
437,1474791597933879297,0.0,0.646,0.354,0.8555,Positive
438,1474786683493265411,0.277,0.723,0.0,-0.3182,Negative
439,1474785094925795331,0.0,0.87,0.13,0.6531,Positive
440,1474783971204608010,0.0,0.874,0.126,0.6351,Positive
441,1474781717013536769,0.098,0.576,0.327,0.9136,Positive
442,1474780930422165509,0.0,0.456,0.544,0.9753,Positive
443,1474780633310191617,0.052,0.675,0.274,0.9473,Positive
444,1474779580678348801,0.0,0.953,0.047,0.4215,Positive
